Date Published,Product Title,Advisory Title,Category,Post Link
27 August 2024,reems collection niaciglow sun protection cream spf 65 pa,FDA Advisory No.2024-1189 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “REEMS COLLECTION NIACIGLOW SUN PROTECTION CREAM SPF 65 PA++++”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1189-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-reems-collection-niaciglow-sun-protection-cream-spf-65-pa/
27 August 2024,ettas skin moisturizing cream,FDA Advisory No.2024-1188 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “ETTAS SKIN MOISTURIZING CREAM”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1188-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-ettas-skin-moisturizing-cream/
27 August 2024,reems pore wonder niacinamide toner,FDA Advisory No.2024-1187 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “REEMS PORE WONDER NIACINAMIDE TONER”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1187-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-reems-pore-wonder-niacinamide-toner/
27 August 2024,reems niacinamide brightening soap,FDA Advisory No.2024-1186 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “REEMS NIACINAMIDE BRIGHTENING SOAP”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1186-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-reems-niacinamide-brightening-soap/
27 August 2024,pureskin green peeling oil,FDA Advisory No.2024-1185 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “PURESKIN GREEN PEELING OIL”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1185-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-pureskin-green-peeling-oil/
27 August 2024,ksunny cocoa butter conditioner,FDA Advisory No.2024-1184 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “KSUNNY COCOA BUTTER CONDITIONER”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1184-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-ksunny-cocoa-butter-conditioner/
27 August 2024,reems niacinamide deo cream,FDA Advisory No.2024-1182 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “REEMS NIACINAMIDE DEO CREAM”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1182-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-reems-niacinamide-deo-cream/
27 August 2024,ksunny cocoa butter shampoo,FDA Advisory No.2024-1181 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “KSUNNY COCOA BUTTER SHAMPOO”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1181-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-ksunny-cocoa-butter-shampoo/
27 August 2024,beauty formulas nourishing gold facial mask enriched with hyaluronic acid honeycomb,FDA Advisory No.2024-1180 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “BEAUTY FORMULAS NOURISHING GOLD FACIAL MASK ENRICHED WITH HYALURONIC ACID HONEYCOMB”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1180-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-beauty-formulas-nourishing-gold-facial-mask-enriched-with-hyaluronic-acid-honeycomb/
27 August 2024,sir von kagayaku green papaya whitening soap,FDA Advisory No.2024-1178 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “SIR VON KAGAYAKU GREEN PAPAYA WHITENING SOAP”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1178-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-sir-von-kagayaku-green-papaya-whitening-soap/
27 August 2024,vl essentials sir von kagayaku bleaching whipped soap,FDA Advisory No.2024-1177 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “VL ESSENTIALS SIR VON KAGAYAKU BLEACHING WHIPPED SOAP”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1177-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-vl-essentials-sir-von-kagayaku-bleaching-whipped-soap/
27 August 2024,reems collection glow pro hya cinamide serum lotion 65 spf,FDA Advisory No.2024-1176 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “REEMS COLLECTION GLOW PRO! HYA-CINAMIDE SERUM LOTION 65 SPF”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1176-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-reems-collection-glow-pro-hya-cinamide-serum-lotion-65-spf/
27 August 2024,30pcs mini wet wipes cat,FDA Advisory No.2024-1175 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “30PCS MINI WET WIPES – CAT”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1175-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-30pcs-mini-wet-wipes-cat/
27 August 2024,softsoap liquid hand soap,FDA Advisory No.2024-1174 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “SOFTSOAP LIQUID HAND SOAP”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1174-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-softsoap-liquid-hand-soap/
27 August 2024,yuuko sakura niacinamide body lotion,FDA Advisory No.2024-1173 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “YUUKO SAKURA NIACINAMIDE BODY LOTION”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1173-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-yuuko-sakura-niacinamide-body-lotion/
27 August 2024,b whitening serum niacinamide body lotion cherry blossom,FDA Advisory No.2024-1172 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “B WHITENING SERUM NIACINAMIDE BODY LOTION (CHERRY BLOSSOM)”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1174-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-b-whitening-serum-niacinamide-body-lotion-cherry-blossom/
12 August 2024,frudia my orchard squeeze mask cactus,FDA Advisory No.2024-1097 || Public Health Warning Against the Purchase and Use of Unnotified Cosmetic “FRUDIA MY ORCHARD SQUEEZE MASK CACTUS”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1097-public-health-warning-against-the-purchase-and-use-of-unnotified-cosmetic-frudia-my-orchard-squeeze-mask-cactus/
12 August 2024,miracle whitening anti freckle set,FDA Advisory No.2024-1095 || Public Health Warning Against the Purchase and Use of Unnotified Cosmetic “MIRACLE WHITENING & ANTI-FRECKLE SET”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1095-public-health-warning-against-the-purchase-and-use-of-unnotified-cosmetic-miracle-whitening-anti-freckle-set/
31 July 2024,meiya matte liprocter gambleloss me 6058 containing banned ingredient,FDA Advisory No.2024-1060 || Public Health Warning Against the Purchase and Use of Cosmetic Product MEIYA MATTE LIPGLOSS – ME-6058 Containing Banned Ingredient,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1060-public-health-warning-against-the-purchase-and-use-of-cosmetic-product-meiya-matte-lipgloss-me-6058-containing-banned-ingredient/
22 July 2024,judah premium organics castor oil,FDA Advisory No.2024-1054 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “JUDAH PREMIUM ORGANICS CASTOR OIL”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1054-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-judah-premium-organics-castor-oil/
22 July 2024,herolisas whitening mix lotion spf 50,FDA Advisory No.2024-1053 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “HEROLISA’S WHITENING MIX LOTION SPF 50”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1053-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-herolisas-whitening-mix-lotion-spf-50/
